"Year","trip","Sets","Avgtemp","Mintemp","Maxtemp","depth_stratum","lat"
2010,70787,22,4.8055,4.6735,4.9741,"RD2       ",49
2009,69067,15,2.7199,2.6473,2.7462,"RD3       ",48
2006,62666,13,4.0307,3.8978,4.1978,"RD3       ",48
2008,67007,31,3.8997,3.774,4.1254,"RD3       ",49
2012,73190,69,6.2334,6.2077,6.254,"RD1       ",51
2007,65106,69,4.0889,3.7928,4.5201,"RD2       ",52
2010,70787,109,3.8336,3.6881,4.2016,"RD2       ",53
2006,62666,52,4.2747,3.9363,4.5897,"RD2       ",51
2011,72067,49,6.1845,5.8929,6.3461,"RD1       ",50
2012,73190,53,6.6091,6.5534,6.6839,"RD1       ",50
2007,65106,90,4.8697,4.6382,5.0938,"RD1       ",53
2011,72067,88,3.886,3.6353,4.0518,"RD2       ",53
2008,67007,61,4.2814,3.9123,4.4755,"RD2       ",51
2007,65106,1,5.6245,5.4961,5.7733,"RD1       ",48
2012,73190,59,6.3346,6.2408,6.3857,"RD1       ",51
2012,73190,99,4.9699,4.6419,5.2134,"RD2       ",53
2011,72067,51,6.1149,6.1061,6.1221,"RD1       ",51
2007,65106,60,5.7865,5.7092,5.8763,"RD1       ",51
2011,72067,86,4.818,4.4634,5.2217,"RD1       ",52
